X,Y,OBJECTID,ASSETID,TREEID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,HRMINTRST,WIRES,SP_SCIEN,SP_COMM,DBH,SIZE2UNIT,SIZE2CONF,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,FCODE,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.5845014619999,44.6399753850001,9559573,TRE130743,TRE130743,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,4,MM,2,INS,,CARLTON ST FROM COLLEGE ST TO SPRING GARDEN RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5781551269999,44.650815822,9559574,TRE133863,TRE133863,TRE,HRM,,,WOOD,1,ROW,Y,N,FRPE,FRPE,3,MM,2,INS,,ALBEMARLE ST FROM DUKE ST TO RAMP COGS-1 RAMP,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.572953717,44.648689631,9559575,TRE133131,TRE133131,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,3,MM,2,INS,,GEORGE ST FROM HOLLIS ST TO BEDFORD ROW,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.578723356,44.636722584,9559576,TRE130019,TRE130019,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACRU,ACRU,2,MM,2,INS,,TOWER RD FROM VICTORIA RD TO TOWER TERR,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.588603287,44.6421364080001,9559577,TRE130642,TRE130642,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,3,MM,2,INS,,BINNEY ST FROM ROBIE ST TO EDWARD ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5939254859999,44.64454893,9559578,TRE130398,TRE130398,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,3,MM,2,INS,,GARDEN ST FROM LINDEN ST TO SHIRLEY ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.580117951,44.6334547170001,9559579,TRE129911,TRE129911,TRE,HRM,,,WOOD,1,ROW,Y,N,ULAM,ULAM,7,MM,2,INS,,INGLIS ST FROM WELLINGTON ST TO ROBIE ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5915388729999,44.6430450880001,9559580,TRE130469,TRE130469,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,1,MM,2,INS,,VERNON ST FROM JUBILEE RD TO CEDAR ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5926220069999,44.6467795880001,9559581,TRE130560,TRE130560,TRE,HRM,,,WOOD,1,ROW,Y,N,ULAM,ULAM,7,MM,2,INS,,QUINPOOL RD FROM QUINPOOL RD TO QUINGATE PL,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5747023609999,44.623471049,9559582,TRE133627,TRE133627,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,4,MM,2,INS,,BALMORAL RD FROM CROWS NEST DR TO CHAIN ROCK DR,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.59345466,44.642237562,9559583,TRE130231,TRE130231,TRE,HRM,,,WOOD,1,ROW,Y,N,ACSA1,ACSA1,7,MM,2,INS,,JUBILEE RD FROM GARDEN ST TO WALNUT ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5765551969999,44.634320497,9559584,TRE129927,TRE129927,TRE,HRM,,,WOOD,1,ROW,Y,N,CEOC,CEOC,3,MM,2,INS,,INGLIS ST FROM YOUNG AVE TO IVANHOE ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.591408336,44.639808305,9559585,TRE130510,TRE130510,TRE,HRM,,,WOOD,1,ROW,Y,Y,CEOC,CEOC,3,MM,2,INS,,LEMARCHANT ST FROM COBURG RD TO WATT ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
